id,category,type,registration_number,deletion_date,registration,country
1169091,AVREG_DATA.CATEGORIES.AIRPLANE,Pilatus PC-12,PMC,2019-12-20T07:00:00.000Z,OK-PMC,CZ
1169107,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,1788,,OK-1788,CZ
1169461,AVREG_DATA.CATEGORIES.AIRPLANE,A320-200,HCB,2016-03-04T08:00:00.000Z,OK-HCB,CZ
1169587,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,5092,,OK-5092,CZ
1169621,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB-S,1961,,OK-1961,CZ
1169643,AVREG_DATA.CATEGORIES.AIRPLANE,M20J,III,,OK-III,CZ
1169729,,SportStar RTC,EAK,2017-04-06T08:00:00.000Z,OK-EAK,CZ
1169733,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna T 206,ABE,2013-03-18T13:45:00.000Z,OK-ABE,CZ
1169928,AVREG_DATA.CATEGORIES.GLIDER,SPEED ASTIR II,7662,,OK-7662,CZ
1170361,AVREG_DATA.CATEGORIES.AIRPLANE,A320-200,HCA,2016-04-13T23:00:00.000Z,OK-HCA,CZ
1170372,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 525,MAR,2023-11-29T23:00:00.000Z,OK-MAR,CZ
1170412,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,CAMERON HOT AIR BALLOONS,2012,2019-01-14T09:00:00.000Z,OK-2012,CZ
1170417,AVREG_DATA.CATEGORIES.GLIDER,LS 1-d,2717,,OK-2717,CZ
1170668,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,4771,,OK-4771,CZ
1170691,AVREG_DATA.CATEGORIES.GLIDER,DG-200/17,0200,,OK-0200,CZ
1170694,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F 152,AVK,2020-01-20T08:00:00.000Z,OK-AVK,CZ
1170857,AVREG_DATA.CATEGORIES.AIRPLANE,SportCruiser,LAU,2022-10-20T23:00:00.000Z,OK-LAU,CZ
1171137,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,BEK,2011-08-01T09:00:00.000Z,OK-BEK,CZ
1171216,AVREG_DATA.CATEGORIES.HELICOPTER,BELL 407,ALB,2019-06-20T23:00:00.000Z,OK-ALB,CZ
1171413,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,2022,,OK-2022,CZ
1171849,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 172,BVA,,OK-BVA,CZ
1172119,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,EOK,,OK-EOK,CZ
1172308,AVREG_DATA.CATEGORIES.GLIDER,SF 27 A,8168,,OK-8168,CZ
1172330,AVREG_DATA.CATEGORIES.AIRPLANE,B 737,CCB,2012-02-01T10:00:00.000Z,OK-CCB,CZ
1172561,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 172,MMA,2025-10-23T07:45:00.000Z,OK-MMA,CZ
1172576,AVREG_DATA.CATEGORIES.AIRPLANE,SportCruiser,SCA,2014-07-04T13:30:00.000Z,OK-SCA,CZ
1172581,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,SCB,,OK-SCB,CZ
1172590,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,APG,,OK-APG,CZ
