aircraft_type,country_prefix,registration_number,category
Cessna F 172,OK,JST,AVREG_DATA.CATEGORIES.AIRPLANE
ASK 21,OK,1121,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7755,AVREG_DATA.CATEGORIES.GLIDER
DISCUS 2T,OK,3303,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Cessna F 150,OK,CTD,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 182,OK,MMS,AVREG_DATA.CATEGORIES.AIRPLANE
Standard Cirrus,OK,0455,AVREG_DATA.CATEGORIES.GLIDER
AN 2,OK,MKD,AVREG_DATA.CATEGORIES.AIRPLANE
LF 107 LUNAK,OK,0829,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,1122,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,6869,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,6301,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,9434,AVREG_DATA.CATEGORIES.GLIDER
Janus,OK,0603,AVREG_DATA.CATEGORIES.GLIDER
Cessna 152,OK,VLK,AVREG_DATA.CATEGORIES.AIRPLANE
L 23,OK,0236,AVREG_DATA.CATEGORIES.GLIDER
Ae 270,OK,INA,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,6880,AVREG_DATA.CATEGORIES.GLIDER
Ae 270,OK,EVA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,MRK,AVREG_DATA.CATEGORIES.AIRPLANE
BO 105,OK,EIH,AVREG_DATA.CATEGORIES.HELICOPTER
Standard Cirrus,OK,3005,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8416,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,4310,AVREG_DATA.CATEGORIES.GLIDER
ASW 20,OK,2828,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 172,OK,ABC,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,2330,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2954,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,4301,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,9999,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,3055,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,3122,AVREG_DATA.CATEGORIES.GLIDER
Duo Discus,OK,4433,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,0019,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7070,AVREG_DATA.CATEGORIES.GLIDER
Ventus a,OK,0007,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,4002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna F 172,OK,OQF,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,BAR,AVREG_DATA.CATEGORIES.AIRPLANE
VT 116,OK,6446,AVREG_DATA.CATEGORIES.GLIDER
Z 25,OK,8833,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,5117,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,4662,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,8656,AVREG_DATA.CATEGORIES.GLIDER
Janus,OK,1948,AVREG_DATA.CATEGORIES.GLIDER
EMB-145,OK,SLN,AVREG_DATA.CATEGORIES.AIRPLANE
MAULE,OK,JAA,AVREG_DATA.CATEGORIES.AIRPLANE
DG-200,OK,2424,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0788,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,0690,AVREG_DATA.CATEGORIES.GLIDER
TWIN ASTIR,OK,0707,AVREG_DATA.CATEGORIES.GLIDER
L 13 Vivat,OK,6101,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 23,OK,5525,AVREG_DATA.CATEGORIES.GLIDER
KKB-15/18,OK,2004,AVREG_DATA.CATEGORIES.GLIDER
EC 135,OK,DSB,AVREG_DATA.CATEGORIES.HELICOPTER
EC 135,OK,DSC,AVREG_DATA.CATEGORIES.HELICOPTER
EC 135,OK,DSD,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna T303,OK,ELO,AVREG_DATA.CATEGORIES.AIRPLANE
L 39,OK,JET,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 182,OK,BMW,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA28,OK,SDK,AVREG_DATA.CATEGORIES.AIRPLANE
BO 105,OK,IAN,AVREG_DATA.CATEGORIES.HELICOPTER
Thunder ,OK,9008,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
SWIFT S1,OK,2100,AVREG_DATA.CATEGORIES.GLIDER
VUT 100,OK,EVE,AVREG_DATA.CATEGORIES.AIRPLANE
L 13 Vivat,OK,0114,AVREG_DATA.CATEGORIES.POWERED_GLIDER
BB,OK,4007,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4006,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BEECH C-90,OK,DSH,AVREG_DATA.CATEGORIES.AIRPLANE
B 737,OK,TVF,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,4021,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,7853,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 152,OK,JAR,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,JAG,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,DSF,AVREG_DATA.CATEGORIES.AIRPLANE
Discus a,OK,7000,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,2335,AVREG_DATA.CATEGORIES.GLIDER
Mini-Nimbus ,OK,5135,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,4008,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4020,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
ASW 19,OK,0310,AVREG_DATA.CATEGORIES.GLIDER
Z 226,OK,MPR,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA42,OK,OKL,AVREG_DATA.CATEGORIES.AIRPLANE
L 23,OK,5232,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,0503,AVREG_DATA.CATEGORIES.GLIDER
LS 1-f,OK,9000,AVREG_DATA.CATEGORIES.GLIDER
DA 42 NG,OK,VSB,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,5000,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5001,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
DISCUS CS,OK,5317,AVREG_DATA.CATEGORIES.GLIDER
SF 34,OK,3434,AVREG_DATA.CATEGORIES.GLIDER
Cessna FR 172,OK,DKL,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 172,OK,TOC,AVREG_DATA.CATEGORIES.AIRPLANE
DG-200/17,OK,1981,AVREG_DATA.CATEGORIES.GLIDER
Cessna 172,OK,AKW,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,5002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,1983,AVREG_DATA.CATEGORIES.GLIDER
Z 526,OK,NNN,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 172,OK,TED,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 19,OK,4474,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 152,OK,LEV,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,RYS,AVREG_DATA.CATEGORIES.AIRPLANE
T-131.PA Jungmann,OK,BIO,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,JAN,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA28,OK,IFR,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 182,OK,AIR,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA34 ,OK,LFC,AVREG_DATA.CATEGORIES.AIRPLANE
Duo Discus,OK,5555,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,5004,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
DISCUS CS,OK,5318,AVREG_DATA.CATEGORIES.GLIDER
PIPER PA32,OK,AMT,AVREG_DATA.CATEGORIES.AIRPLANE
VT 116,OK,6423,AVREG_DATA.CATEGORIES.GLIDER
Z 142,OK,ONP,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,1515,AVREG_DATA.CATEGORIES.GLIDER
PIPER PA34 ,OK,DSP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,COK,AVREG_DATA.CATEGORIES.AIRPLANE
VT 16,OK,2415,AVREG_DATA.CATEGORIES.GLIDER
MU-2B,OK,ATX,AVREG_DATA.CATEGORIES.AIRPLANE
ASTIR CS,OK,6622,AVREG_DATA.CATEGORIES.GLIDER
L 13 SDM Vivat,OK,5307,AVREG_DATA.CATEGORIES.POWERED_GLIDER
BB,OK,5005,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Z 37,OK,DLN,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,5006,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 172,OK,VVV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,DDT,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna T 206,OK,MCP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 24,OK,8193,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,5010,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
PAC 750XL,OK,SKW,AVREG_DATA.CATEGORIES.AIRPLANE
LAK-12,OK,1414,AVREG_DATA.CATEGORIES.GLIDER
DA 42,OK,ZZK,AVREG_DATA.CATEGORIES.AIRPLANE
BELL 427,OK,TCH,AVREG_DATA.CATEGORIES.HELICOPTER
MD 500N,OK,YIK,AVREG_DATA.CATEGORIES.HELICOPTER
VENTUS,OK,6302,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 172,OK,CWF,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna T 207,OK,AAJ,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,6000,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
SR20,OK,AER,AVREG_DATA.CATEGORIES.AIRPLANE
KKB-15/18,OK,2006,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,4610,AVREG_DATA.CATEGORIES.GLIDER
CORVUS 1F,OK,WLT,AVREG_DATA.CATEGORIES.AIRPLANE
BEECH 200,OK,MAG,AVREG_DATA.CATEGORIES.AIRPLANE
R 22,OK,CPW,AVREG_DATA.CATEGORIES.HELICOPTER
PIPER PA34 ,OK,DST,AVREG_DATA.CATEGORIES.AIRPLANE
LS 3,OK,2255,AVREG_DATA.CATEGORIES.GLIDER
EMB-145,OK,SUN,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,KOD,AVREG_DATA.CATEGORIES.AIRPLANE
Schweizer 269,OK,PIC,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,6413,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
TWIN ASTIR,OK,5707,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,6411,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Schweizer 269,OK,XIS,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna 172,OK,STJ,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,OKA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,JTN,AVREG_DATA.CATEGORIES.AIRPLANE
SR20,OK,SWG,AVREG_DATA.CATEGORIES.AIRPLANE
VENTUS,OK,6303,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Ae 270,OK,ALE,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,MDK,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,DSG,AVREG_DATA.CATEGORIES.AIRPLANE
R 44,OK,MOV,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,6360,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
L 410,OK,UBA,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA46,OK,VIP,AVREG_DATA.CATEGORIES.AIRPLANE
VUT 100,OK,RAF,AVREG_DATA.CATEGORIES.AIRPLANE
B 737,OK,TVG,AVREG_DATA.CATEGORIES.AIRPLANE
L 29,OK,ATS,AVREG_DATA.CATEGORIES.AIRPLANE
VT 116,OK,6445,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,2706,
SR22,OK,FAC,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,XAI,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 182,OK,OOO,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,ALZ,AVREG_DATA.CATEGORIES.AIRPLANE
Standard Cirrus,OK,1175,AVREG_DATA.CATEGORIES.GLIDER
Cessna 172,OK,TOY,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 560XL,OK,CAA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,GIN,AVREG_DATA.CATEGORIES.AIRPLANE
R 44,OK,DAF,AVREG_DATA.CATEGORIES.HELICOPTER
Z 126,OK,XSB,AVREG_DATA.CATEGORIES.AIRPLANE
DISCUS CS,OK,9305,AVREG_DATA.CATEGORIES.GLIDER
R 44,OK,OPW,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna 172,OK,VFR,AVREG_DATA.CATEGORIES.AIRPLANE
LS 6,OK,8899,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 172,OK,WIN,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,7117,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,7677,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,1110,AVREG_DATA.CATEGORIES.GLIDER
Z 126,OK,JHD,AVREG_DATA.CATEGORIES.AIRPLANE
Avia BH-5,OK,BOS,AVREG_DATA.CATEGORIES.AIRPLANE
SR22,OK,MIR,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,9005,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna F 172,OK,KOL,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna T 206,OK,VON,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPE,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,EIA,AVREG_DATA.CATEGORIES.AIRPLANE
VT 116,OK,7410,AVREG_DATA.CATEGORIES.GLIDER
R 44,OK,HCZ,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,7080,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
LS 3,OK,1418,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,7701,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Cessna 182,OK,HBT,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,1220,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
SR20,OK,TWI,AVREG_DATA.CATEGORIES.AIRPLANE
Duo Discus,OK,2345,AVREG_DATA.CATEGORIES.POWERED_GLIDER
SR22,OK,OKO,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,4077,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
TATRA T-101,OK,TAO,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,ERO,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA46,OK,CTR,AVREG_DATA.CATEGORIES.AIRPLANE
VENTUS,OK,1837,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,4477,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
PIPER PA38,OK,PAP,AVREG_DATA.CATEGORIES.AIRPLANE
LG 125,OK,0638,AVREG_DATA.CATEGORIES.GLIDER
Z 142,OK,PNV,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,7771,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Seagle,OK,MAS,
BB,OK,7536,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
L 13,OK,0931,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,7770,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 172,OK,EYE,AVREG_DATA.CATEGORIES.AIRPLANE
BEECH 300,OK,HLB,AVREG_DATA.CATEGORIES.AIRPLANE
SR22,OK,VLP,AVREG_DATA.CATEGORIES.AIRPLANE
T 59,OK,5901,AVREG_DATA.CATEGORIES.GLIDER
DG-400,OK,2154,AVREG_DATA.CATEGORIES.POWERED_GLIDER
R 22,OK,NIS,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna F 150,OK,FOR,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,CHO,AVREG_DATA.CATEGORIES.AIRPLANE
ULTRAMAGIC HOT AIR BALLOONS,OK,2008,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
PIPER PA42,OK,MPM,AVREG_DATA.CATEGORIES.AIRPLANE
L 410,OK,TCA,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,8000,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7003,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 414,OK,PSP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,KMC,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,0454,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,8050,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5008,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
LS 3,OK,1469,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,8881,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7554,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,1954,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Z 526,OK,IZZ,AVREG_DATA.CATEGORIES.AIRPLANE
EC 120,OK,MMI,AVREG_DATA.CATEGORIES.HELICOPTER
L 13,OK,1814,AVREG_DATA.CATEGORIES.GLIDER
CAMERON HOT AIR BALLOONS,OK,0002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
VENTUS,OK,2131,AVREG_DATA.CATEGORIES.POWERED_GLIDER
VSO 10,OK,5609,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,1591,AVREG_DATA.CATEGORIES.GLIDER
Cessna 172,OK,CEZ,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 19,OK,7557,AVREG_DATA.CATEGORIES.GLIDER
Cessna 150 ,OK,UWA,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,8808,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8559,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 152,OK,OGC,AVREG_DATA.CATEGORIES.AIRPLANE
Schweizer 269,OK,PIP,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,1255,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 182,OK,CAT,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,NAU,AVREG_DATA.CATEGORIES.AIRPLANE
LS 1-f,OK,1432,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1705,AVREG_DATA.CATEGORIES.GLIDER
Phoebus B1,OK,0695,AVREG_DATA.CATEGORIES.GLIDER
R 44,OK,VRT,AVREG_DATA.CATEGORIES.HELICOPTER
Z 226,OK,KNI,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,PES,AVREG_DATA.CATEGORIES.AIRPLANE
DISCUS CS,OK,5757,AVREG_DATA.CATEGORIES.GLIDER
R 22,OK,NIA,AVREG_DATA.CATEGORIES.HELICOPTER
R 44,OK,AXJ,AVREG_DATA.CATEGORIES.HELICOPTER
Z 226,OK,LPR,AVREG_DATA.CATEGORIES.AIRPLANE
R 22,OK,ORJ,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,8807,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
R 22,OK,EDA,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna 210,OK,TKN,AVREG_DATA.CATEGORIES.AIRPLANE
"H 36 ""DIMONA""",OK,3611,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Z 526,OK,VRJ,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,DSI,AVREG_DATA.CATEGORIES.AIRPLANE
R 44,OK,HYP,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,2012,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
VENTUS,OK,8008,AVREG_DATA.CATEGORIES.GLIDER
EMB-145,OK,JNT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,OTF,AVREG_DATA.CATEGORIES.AIRPLANE
R 44,OK,DDD,AVREG_DATA.CATEGORIES.HELICOPTER
Z 43,OK,OLI,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA34 ,OK,ALY,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,8882,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
R 22,OK,AKJ,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,8079,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
TWIN ASTIR,OK,8002,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,7002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 152,OK,KAL,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,FIK,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,0666,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 152,OK,HOT,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 19,OK,9988,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7515,AVREG_DATA.CATEGORIES.GLIDER
LS8,OK,0818,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7887,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,0635,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
NIMBUS,OK,0566,AVREG_DATA.CATEGORIES.GLIDER
EC 135,OK,DSE,AVREG_DATA.CATEGORIES.HELICOPTER
BB,OK,1907,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
DA 40,OK,PAZ,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,MIL,AVREG_DATA.CATEGORIES.AIRPLANE
B 737,OK,TVJ,AVREG_DATA.CATEGORIES.AIRPLANE
EXTRA 300,OK,DAV,AVREG_DATA.CATEGORIES.AIRPLANE
8KCAB,OK,DEC,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,FCA,AVREG_DATA.CATEGORIES.AIRPLANE
DISCUS CS,OK,0138,AVREG_DATA.CATEGORIES.GLIDER
LS8,OK,0808,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,7060,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
ASTIR CS,OK,6974,AVREG_DATA.CATEGORIES.GLIDER
Cessna 172,OK,WIA,AVREG_DATA.CATEGORIES.AIRPLANE
Standard Cirrus,OK,3479,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3141,AVREG_DATA.CATEGORIES.GLIDER
Z 526,OK,VRC,AVREG_DATA.CATEGORIES.AIRPLANE
LS 1-f,OK,2030,AVREG_DATA.CATEGORIES.GLIDER
T-131.PA Jungmann,OK,ARP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 182,OK,OKJ,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,7477,AVREG_DATA.CATEGORIES.GLIDER
Cessna 152,OK,SUP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,DSR,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 402,OK,VOM,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,3366,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Z 242,OK,BKT,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,9009,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
R 44,OK,STE,AVREG_DATA.CATEGORIES.HELICOPTER
Z 143,OK,NEW,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,CLL,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,2076,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,0901,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8809,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
R 44,OK,SSJ,AVREG_DATA.CATEGORIES.HELICOPTER
R 22,OK,VDM,AVREG_DATA.CATEGORIES.HELICOPTER
R 44,OK,ENA,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna 510,OK,FTR,AVREG_DATA.CATEGORIES.AIRPLANE
R 22,OK,IVO,AVREG_DATA.CATEGORIES.HELICOPTER
Z 326,OK,OTP,AVREG_DATA.CATEGORIES.AIRPLANE
PIK-20 D,OK,6600,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,2141,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 172,OK,DTB,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,SPK,AVREG_DATA.CATEGORIES.AIRPLANE
"H 36 ""DIMONA""",OK,3613,AVREG_DATA.CATEGORIES.POWERED_GLIDER
ASW 27,OK,9922,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Standard Cirrus,OK,3740,AVREG_DATA.CATEGORIES.GLIDER
LS 3,OK,2357,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0581,AVREG_DATA.CATEGORIES.GLIDER
Cessna 560XL,OK,XLS,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,CPL,AVREG_DATA.CATEGORIES.AIRPLANE
L 29,OK,AJW,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,2186,AVREG_DATA.CATEGORIES.GLIDER
AN 2,OK,HFL,AVREG_DATA.CATEGORIES.AIRPLANE
HPH Glasflügel 304,OK,0999,AVREG_DATA.CATEGORIES.POWERED_GLIDER
1.131 (C-104),OK,TKB,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 182,OK,JTV,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,DAN,AVREG_DATA.CATEGORIES.AIRPLANE
FKP-STU/380,OK,0010,AVREG_DATA.CATEGORIES.GAS_BALLOON
EC 120,OK,HEL,AVREG_DATA.CATEGORIES.HELICOPTER
R 44,OK,DWX,AVREG_DATA.CATEGORIES.HELICOPTER
R 44,OK,ABD,AVREG_DATA.CATEGORIES.HELICOPTER
Cessna 510,OK,MYS,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,PAV,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,2667,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna 172,OK,RTR,AVREG_DATA.CATEGORIES.AIRPLANE
M20J,OK,SYK,AVREG_DATA.CATEGORIES.AIRPLANE
HPH Glasflügel 304,OK,0998,AVREG_DATA.CATEGORIES.POWERED_GLIDER
VENTUS,OK,3086,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,2079,AVREG_DATA.CATEGORIES.GLIDER
