aircraft_type,country_prefix,registration_number,category
L 13,OK,2815,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2814,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2813,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2810,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2809,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2808,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2806,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2805,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2804,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2800,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2728,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2724,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2722,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2718,AVREG_DATA.CATEGORIES.GLIDER
L 13 SDM Vivat,OK,2716,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2714,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2710,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2708,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1856,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1854,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1852,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1850,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1831,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1830,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1829,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1828,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1827,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1824,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1823,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1822,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1820,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0911,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0908,AVREG_DATA.CATEGORIES.GLIDER
L 13 Vivat,OK,0101,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0105,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0108,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0113,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0115,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,3600,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,3104,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0116,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,0119,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8130,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8119,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8118,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8115,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8113,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8112,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8110,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8109,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8107,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8106,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8104,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,8103,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7120,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7118,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7114,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7112,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7106,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,7104,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5116,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5114,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5112,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5108,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5106,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5104,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5102,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,5100,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6110,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6108,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6106,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6104,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6102,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,6118,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,4602,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,4603,AVREG_DATA.CATEGORIES.POWERED_GLIDER
